name,email,password,role,roll_no,department
Student 112,student112@citchennai.net,password123,STUDENT,23CSE112,CSE
Student 113,student113@citchennai.net,password123,STUDENT,24CIVIL113,CIVIL
Student 114,student114@citchennai.net,password123,STUDENT,24MECH114,MECH
Student 115,student115@citchennai.net,password123,STUDENT,22BME115,BME
Student 116,student116@citchennai.net,password123,STUDENT,22ECE116,ECE
Student 117,student117@citchennai.net,password123,STUDENT,23BME117,BME
Student 118,student118@citchennai.net,password123,STUDENT,23IT118,IT
Student 119,student119@citchennai.net,password123,STUDENT,24IT119,IT
Student 120,student120@citchennai.net,password123,STUDENT,23ECE120,ECE
Student 121,student121@citchennai.net,password123,STUDENT,23MECH121,MECH
Student 122,student122@citchennai.net,password123,STUDENT,24CIVIL122,CIVIL
Student 123,student123@citchennai.net,password123,STUDENT,21ECE123,ECE
Student 124,student124@citchennai.net,password123,STUDENT,21EEE124,EEE
Student 125,student125@citchennai.net,password123,STUDENT,21EEE125,EEE
Student 126,student126@citchennai.net,password123,STUDENT,21AI-DS126,AI-DS
Student 127,student127@citchennai.net,password123,STUDENT,24BME127,BME
Student 128,student128@citchennai.net,password123,STUDENT,22CSE128,CSE
Student 129,student129@citchennai.net,password123,STUDENT,24MECH129,MECH
Student 130,student130@citchennai.net,password123,STUDENT,22ECE130,ECE
Student 131,student131@citchennai.net,password123,STUDENT,24IT131,IT
Student 132,student132@citchennai.net,password123,STUDENT,22EEE132,EEE
Student 133,student133@citchennai.net,password123,STUDENT,24EEE133,EEE
Student 134,student134@citchennai.net,password123,STUDENT,23BME134,BME
Student 135,student135@citchennai.net,password123,STUDENT,23BME135,BME
Student 136,student136@citchennai.net,password123,STUDENT,23CIVIL136,CIVIL
Student 137,student137@citchennai.net,password123,STUDENT,23EEE137,EEE
Student 138,student138@citchennai.net,password123,STUDENT,23MECH138,MECH
Student 139,student139@citchennai.net,password123,STUDENT,23MECH139,MECH
Student 140,student140@citchennai.net,password123,STUDENT,22IT140,IT
Student 141,student141@citchennai.net,password123,STUDENT,23AI-DS141,AI-DS
Student 142,student142@citchennai.net,password123,STUDENT,23MECH142,MECH
Student 143,student143@citchennai.net,password123,STUDENT,24CSE143,CSE
Student 144,student144@citchennai.net,password123,STUDENT,24CSE144,CSE
Student 145,student145@citchennai.net,password123,STUDENT,23EEE145,EEE
Student 146,student146@citchennai.net,password123,STUDENT,21MECH146,MECH
Student 147,student147@citchennai.net,password123,STUDENT,24IT147,IT
Student 148,student148@citchennai.net,password123,STUDENT,23CIVIL148,CIVIL
Student 149,student149@citchennai.net,password123,STUDENT,24ECE149,ECE
Student 150,student150@citchennai.net,password123,STUDENT,21MECH150,MECH
Student 151,student151@citchennai.net,password123,STUDENT,23BME151,BME
Student 152,student152@citchennai.net,password123,STUDENT,24MECH152,MECH
Student 153,student153@citchennai.net,password123,STUDENT,22IT153,IT
Student 154,student154@citchennai.net,password123,STUDENT,22CSE154,CSE
Student 155,student155@citchennai.net,password123,STUDENT,24MECH155,MECH
Student 156,student156@citchennai.net,password123,STUDENT,24EEE156,EEE
Student 157,student157@citchennai.net,password123,STUDENT,21BME157,BME
Student 158,student158@citchennai.net,password123,STUDENT,22CSE158,CSE
Student 159,student159@citchennai.net,password123,STUDENT,22ECE159,ECE
Student 160,student160@citchennai.net,password123,STUDENT,21CIVIL160,CIVIL
Student 161,student161@citchennai.net,password123,STUDENT,21MECH161,MECH
Student 162,student162@citchennai.net,password123,STUDENT,24MECH162,MECH
Student 163,student163@citchennai.net,password123,STUDENT,23EEE163,EEE
Student 164,student164@citchennai.net,password123,STUDENT,24MECH164,MECH
Student 165,student165@citchennai.net,password123,STUDENT,23ECE165,ECE
Student 166,student166@citchennai.net,password123,STUDENT,24IT166,IT
Student 167,student167@citchennai.net,password123,STUDENT,21EEE167,EEE
Student 168,student168@citchennai.net,password123,STUDENT,24EEE168,EEE
Student 169,student169@citchennai.net,password123,STUDENT,21ECE169,ECE
Student 170,student170@citchennai.net,password123,STUDENT,22AI-DS170,AI-DS
Student 171,student171@citchennai.net,password123,STUDENT,24ECE171,ECE
Student 172,student172@citchennai.net,password123,STUDENT,23AI-DS172,AI-DS
Student 173,student173@citchennai.net,password123,STUDENT,22MECH173,MECH
Student 174,student174@citchennai.net,password123,STUDENT,24BME174,BME
Student 175,student175@citchennai.net,password123,STUDENT,23BME175,BME
Student 176,student176@citchennai.net,password123,STUDENT,22MECH176,MECH
Student 177,student177@citchennai.net,password123,STUDENT,21BME177,BME
Student 178,student178@citchennai.net,password123,STUDENT,21AI-DS178,AI-DS
Student 179,student179@citchennai.net,password123,STUDENT,22BME179,BME
Student 180,student180@citchennai.net,password123,STUDENT,22IT180,IT
Student 181,student181@citchennai.net,password123,STUDENT,24CIVIL181,CIVIL
Student 182,student182@citchennai.net,password123,STUDENT,21BME182,BME
Student 183,student183@citchennai.net,password123,STUDENT,22CIVIL183,CIVIL
Student 184,student184@citchennai.net,password123,STUDENT,22AI-DS184,AI-DS
Student 185,student185@citchennai.net,password123,STUDENT,21CSE185,CSE
Student 186,student186@citchennai.net,password123,STUDENT,23IT186,IT
Student 187,student187@citchennai.net,password123,STUDENT,23AI-DS187,AI-DS
Student 188,student188@citchennai.net,password123,STUDENT,22CIVIL188,CIVIL
Student 189,student189@citchennai.net,password123,STUDENT,22BME189,BME
Student 190,student190@citchennai.net,password123,STUDENT,22EEE190,EEE
Student 191,student191@citchennai.net,password123,STUDENT,22BME191,BME
Student 192,student192@citchennai.net,password123,STUDENT,23IT192,IT
Student 193,student193@citchennai.net,password123,STUDENT,23CSE193,CSE
Student 194,student194@citchennai.net,password123,STUDENT,21MECH194,MECH
Student 195,student195@citchennai.net,password123,STUDENT,22CSE195,CSE
Student 196,student196@citchennai.net,password123,STUDENT,24ECE196,ECE
Student 197,student197@citchennai.net,password123,STUDENT,22MECH197,MECH
Student 198,student198@citchennai.net,password123,STUDENT,21BME198,BME
Student 199,student199@citchennai.net,password123,STUDENT,22EEE199,EEE
Student 200,student200@citchennai.net,password123,STUDENT,23ECE200,ECE
Student 201,student201@citchennai.net,password123,STUDENT,23AI-DS201,AI-DS
Student 202,student202@citchennai.net,password123,STUDENT,24CIVIL202,CIVIL
Student 203,student203@citchennai.net,password123,STUDENT,21CIVIL203,CIVIL
Student 204,student204@citchennai.net,password123,STUDENT,22AI-DS204,AI-DS
Student 205,student205@citchennai.net,password123,STUDENT,24EEE205,EEE
Student 206,student206@citchennai.net,password123,STUDENT,24AI-DS206,AI-DS
Student 207,student207@citchennai.net,password123,STUDENT,24CSE207,CSE
Student 208,student208@citchennai.net,password123,STUDENT,21AI-DS208,AI-DS
Student 209,student209@citchennai.net,password123,STUDENT,23MECH209,MECH
Student 210,student210@citchennai.net,password123,STUDENT,24EEE210,EEE
Student 211,student211@citchennai.net,password123,STUDENT,23EEE211,EEE
Student 212,student212@citchennai.net,password123,STUDENT,23AI-DS212,AI-DS
Student 213,student213@citchennai.net,password123,STUDENT,24MECH213,MECH
Student 214,student214@citchennai.net,password123,STUDENT,24MECH214,MECH
Student 215,student215@citchennai.net,password123,STUDENT,24ECE215,ECE
Student 216,student216@citchennai.net,password123,STUDENT,23EEE216,EEE
Student 217,student217@citchennai.net,password123,STUDENT,23ECE217,ECE
Student 218,student218@citchennai.net,password123,STUDENT,24AI-DS218,AI-DS
Student 219,student219@citchennai.net,password123,STUDENT,24BME219,BME
Student 220,student220@citchennai.net,password123,STUDENT,24CSE220,CSE
Student 221,student221@citchennai.net,password123,STUDENT,22MECH221,MECH
Student 222,student222@citchennai.net,password123,STUDENT,21CSE222,CSE
Student 223,student223@citchennai.net,password123,STUDENT,21MECH223,MECH
Student 224,student224@citchennai.net,password123,STUDENT,22MECH224,MECH
Student 225,student225@citchennai.net,password123,STUDENT,21EEE225,EEE
Student 226,student226@citchennai.net,password123,STUDENT,21ECE226,ECE
Student 227,student227@citchennai.net,password123,STUDENT,24CSE227,CSE
Student 228,student228@citchennai.net,password123,STUDENT,22AI-DS228,AI-DS
Student 229,student229@citchennai.net,password123,STUDENT,22IT229,IT
Student 230,student230@citchennai.net,password123,STUDENT,21ECE230,ECE
Student 231,student231@citchennai.net,password123,STUDENT,23CSE231,CSE
Student 232,student232@citchennai.net,password123,STUDENT,21IT232,IT
Student 233,student233@citchennai.net,password123,STUDENT,24ECE233,ECE
Student 234,student234@citchennai.net,password123,STUDENT,23AI-DS234,AI-DS
Student 235,student235@citchennai.net,password123,STUDENT,24ECE235,ECE
Student 236,student236@citchennai.net,password123,STUDENT,22BME236,BME
Student 237,student237@citchennai.net,password123,STUDENT,24AI-DS237,AI-DS
Student 238,student238@citchennai.net,password123,STUDENT,23AI-DS238,AI-DS
Student 239,student239@citchennai.net,password123,STUDENT,21CIVIL239,CIVIL
Student 240,student240@citchennai.net,password123,STUDENT,21ECE240,ECE
Student 241,student241@citchennai.net,password123,STUDENT,24BME241,BME
Student 242,student242@citchennai.net,password123,STUDENT,23IT242,IT
Student 243,student243@citchennai.net,password123,STUDENT,22ECE243,ECE
Student 244,student244@citchennai.net,password123,STUDENT,23BME244,BME
Student 245,student245@citchennai.net,password123,STUDENT,22IT245,IT
Student 246,student246@citchennai.net,password123,STUDENT,22MECH246,MECH
Student 247,student247@citchennai.net,password123,STUDENT,22BME247,BME
Student 248,student248@citchennai.net,password123,STUDENT,22BME248,BME
Student 249,student249@citchennai.net,password123,STUDENT,23AI-DS249,AI-DS
Student 250,student250@citchennai.net,password123,STUDENT,22MECH250,MECH
Student 251,student251@citchennai.net,password123,STUDENT,23AI-DS251,AI-DS
Student 252,student252@citchennai.net,password123,STUDENT,22BME252,BME
Student 253,student253@citchennai.net,password123,STUDENT,21IT253,IT
Student 254,student254@citchennai.net,password123,STUDENT,23CIVIL254,CIVIL
Student 255,student255@citchennai.net,password123,STUDENT,23AI-DS255,AI-DS
Student 256,student256@citchennai.net,password123,STUDENT,23AI-DS256,AI-DS
Student 257,student257@citchennai.net,password123,STUDENT,22CSE257,CSE
Student 258,student258@citchennai.net,password123,STUDENT,22IT258,IT
Student 259,student259@citchennai.net,password123,STUDENT,24BME259,BME
Student 260,student260@citchennai.net,password123,STUDENT,23AI-DS260,AI-DS
Student 261,student261@citchennai.net,password123,STUDENT,22EEE261,EEE
Student 262,student262@citchennai.net,password123,STUDENT,21ECE262,ECE
Student 263,student263@citchennai.net,password123,STUDENT,24EEE263,EEE
Student 264,student264@citchennai.net,password123,STUDENT,21MECH264,MECH
Student 265,student265@citchennai.net,password123,STUDENT,22BME265,BME
Student 266,student266@citchennai.net,password123,STUDENT,21MECH266,MECH
Student 267,student267@citchennai.net,password123,STUDENT,22AI-DS267,AI-DS
Student 268,student268@citchennai.net,password123,STUDENT,21CSE268,CSE
Student 269,student269@citchennai.net,password123,STUDENT,23IT269,IT
Student 270,student270@citchennai.net,password123,STUDENT,21MECH270,MECH
Student 271,student271@citchennai.net,password123,STUDENT,22EEE271,EEE
Student 272,student272@citchennai.net,password123,STUDENT,21CIVIL272,CIVIL
Student 273,student273@citchennai.net,password123,STUDENT,23MECH273,MECH
Student 274,student274@citchennai.net,password123,STUDENT,21AI-DS274,AI-DS
Student 275,student275@citchennai.net,password123,STUDENT,22BME275,BME
Student 276,student276@citchennai.net,password123,STUDENT,23MECH276,MECH
Student 277,student277@citchennai.net,password123,STUDENT,21AI-DS277,AI-DS
Student 278,student278@citchennai.net,password123,STUDENT,22BME278,BME
Student 279,student279@citchennai.net,password123,STUDENT,21IT279,IT
Student 280,student280@citchennai.net,password123,STUDENT,23MECH280,MECH
Student 281,student281@citchennai.net,password123,STUDENT,23AI-DS281,AI-DS
Student 282,student282@citchennai.net,password123,STUDENT,22MECH282,MECH
Student 283,student283@citchennai.net,password123,STUDENT,24AI-DS283,AI-DS
Student 284,student284@citchennai.net,password123,STUDENT,23ECE284,ECE
Student 285,student285@citchennai.net,password123,STUDENT,23MECH285,MECH
Student 286,student286@citchennai.net,password123,STUDENT,24BME286,BME
Student 287,student287@citchennai.net,password123,STUDENT,24ECE287,ECE
Student 288,student288@citchennai.net,password123,STUDENT,23IT288,IT
Student 289,student289@citchennai.net,password123,STUDENT,22ECE289,ECE
Student 290,student290@citchennai.net,password123,STUDENT,22MECH290,MECH
Student 291,student291@citchennai.net,password123,STUDENT,24IT291,IT
Student 292,student292@citchennai.net,password123,STUDENT,22ECE292,ECE
Student 293,student293@citchennai.net,password123,STUDENT,21ECE293,ECE
Student 294,student294@citchennai.net,password123,STUDENT,21IT294,IT
Student 295,student295@citchennai.net,password123,STUDENT,23MECH295,MECH
Student 296,student296@citchennai.net,password123,STUDENT,21IT296,IT
Student 297,student297@citchennai.net,password123,STUDENT,24EEE297,EEE
Student 298,student298@citchennai.net,password123,STUDENT,22BME298,BME
Student 299,student299@citchennai.net,password123,STUDENT,22IT299,IT
Student 300,student300@citchennai.net,password123,STUDENT,22MECH300,MECH
Student 301,student301@citchennai.net,password123,STUDENT,23CIVIL301,CIVIL
Student 302,student302@citchennai.net,password123,STUDENT,21AI-DS302,AI-DS
Student 303,student303@citchennai.net,password123,STUDENT,21CIVIL303,CIVIL
Student 304,student304@citchennai.net,password123,STUDENT,21ECE304,ECE
Student 305,student305@citchennai.net,password123,STUDENT,22ECE305,ECE
Student 306,student306@citchennai.net,password123,STUDENT,22EEE306,EEE
Student 307,student307@citchennai.net,password123,STUDENT,21CSE307,CSE
Student 308,student308@citchennai.net,password123,STUDENT,23ECE308,ECE
Student 309,student309@citchennai.net,password123,STUDENT,24ECE309,ECE
Student 310,student310@citchennai.net,password123,STUDENT,24IT310,IT
Student 311,student311@citchennai.net,password123,STUDENT,23CSE311,CSE
Student 312,student312@citchennai.net,password123,STUDENT,22CIVIL312,CIVIL
Student 313,student313@citchennai.net,password123,STUDENT,21ECE313,ECE
Student 314,student314@citchennai.net,password123,STUDENT,24BME314,BME
Student 315,student315@citchennai.net,password123,STUDENT,23CSE315,CSE
Student 316,student316@citchennai.net,password123,STUDENT,21BME316,BME
Student 317,student317@citchennai.net,password123,STUDENT,23BME317,BME
Student 318,student318@citchennai.net,password123,STUDENT,21EEE318,EEE
Student 319,student319@citchennai.net,password123,STUDENT,22EEE319,EEE
Student 320,student320@citchennai.net,password123,STUDENT,24MECH320,MECH
Student 321,student321@citchennai.net,password123,STUDENT,24AI-DS321,AI-DS
Student 322,student322@citchennai.net,password123,STUDENT,24EEE322,EEE
Student 323,student323@citchennai.net,password123,STUDENT,22CIVIL323,CIVIL
Student 324,student324@citchennai.net,password123,STUDENT,21CSE324,CSE
Student 325,student325@citchennai.net,password123,STUDENT,24IT325,IT
Student 326,student326@citchennai.net,password123,STUDENT,21MECH326,MECH
Student 327,student327@citchennai.net,password123,STUDENT,24AI-DS327,AI-DS
Student 328,student328@citchennai.net,password123,STUDENT,23EEE328,EEE
Student 329,student329@citchennai.net,password123,STUDENT,23BME329,BME
Student 330,student330@citchennai.net,password123,STUDENT,24BME330,BME
Student 331,student331@citchennai.net,password123,STUDENT,21BME331,BME
Student 332,student332@citchennai.net,password123,STUDENT,21CSE332,CSE
Student 333,student333@citchennai.net,password123,STUDENT,23AI-DS333,AI-DS
Student 334,student334@citchennai.net,password123,STUDENT,22CIVIL334,CIVIL
Student 335,student335@citchennai.net,password123,STUDENT,23IT335,IT
Student 336,student336@citchennai.net,password123,STUDENT,23ECE336,ECE
Student 337,student337@citchennai.net,password123,STUDENT,24ECE337,ECE
Student 338,student338@citchennai.net,password123,STUDENT,23BME338,BME
Student 339,student339@citchennai.net,password123,STUDENT,21BME339,BME
Student 340,student340@citchennai.net,password123,STUDENT,24CSE340,CSE
Student 341,student341@citchennai.net,password123,STUDENT,21CIVIL341,CIVIL
Student 342,student342@citchennai.net,password123,STUDENT,21CSE342,CSE
Student 343,student343@citchennai.net,password123,STUDENT,23CSE343,CSE
Student 344,student344@citchennai.net,password123,STUDENT,21BME344,BME
Student 345,student345@citchennai.net,password123,STUDENT,23AI-DS345,AI-DS
Student 346,student346@citchennai.net,password123,STUDENT,21BME346,BME
Student 347,student347@citchennai.net,password123,STUDENT,24MECH347,MECH
Student 348,student348@citchennai.net,password123,STUDENT,24CIVIL348,CIVIL
Student 349,student349@citchennai.net,password123,STUDENT,24CIVIL349,CIVIL
Student 350,student350@citchennai.net,password123,STUDENT,22CSE350,CSE
Student 351,student351@citchennai.net,password123,STUDENT,23BME351,BME
Student 352,student352@citchennai.net,password123,STUDENT,22AI-DS352,AI-DS
Student 353,student353@citchennai.net,password123,STUDENT,21BME353,BME
Student 354,student354@citchennai.net,password123,STUDENT,23CIVIL354,CIVIL
Student 355,student355@citchennai.net,password123,STUDENT,21CIVIL355,CIVIL
Student 356,student356@citchennai.net,password123,STUDENT,22AI-DS356,AI-DS
Student 357,student357@citchennai.net,password123,STUDENT,23CSE357,CSE
Student 358,student358@citchennai.net,password123,STUDENT,22IT358,IT
Student 359,student359@citchennai.net,password123,STUDENT,24ECE359,ECE
Student 360,student360@citchennai.net,password123,STUDENT,24CSE360,CSE
Student 361,student361@citchennai.net,password123,STUDENT,21EEE361,EEE
Student 362,student362@citchennai.net,password123,STUDENT,21ECE362,ECE
Student 363,student363@citchennai.net,password123,STUDENT,21EEE363,EEE
Student 364,student364@citchennai.net,password123,STUDENT,21CSE364,CSE
Student 365,student365@citchennai.net,password123,STUDENT,21MECH365,MECH
Student 366,student366@citchennai.net,password123,STUDENT,23BME366,BME
Student 367,student367@citchennai.net,password123,STUDENT,22BME367,BME
Student 368,student368@citchennai.net,password123,STUDENT,23EEE368,EEE
Student 369,student369@citchennai.net,password123,STUDENT,24EEE369,EEE
Student 370,student370@citchennai.net,password123,STUDENT,23ECE370,ECE
Student 371,student371@citchennai.net,password123,STUDENT,21AI-DS371,AI-DS
Student 372,student372@citchennai.net,password123,STUDENT,22CSE372,CSE
Student 373,student373@citchennai.net,password123,STUDENT,24CSE373,CSE
Student 374,student374@citchennai.net,password123,STUDENT,21CSE374,CSE
Student 375,student375@citchennai.net,password123,STUDENT,24CSE375,CSE
Student 376,student376@citchennai.net,password123,STUDENT,22AI-DS376,AI-DS
Student 377,student377@citchennai.net,password123,STUDENT,22BME377,BME
Student 378,student378@citchennai.net,password123,STUDENT,24ECE378,ECE
Student 379,student379@citchennai.net,password123,STUDENT,24BME379,BME
Student 380,student380@citchennai.net,password123,STUDENT,23ECE380,ECE
Student 381,student381@citchennai.net,password123,STUDENT,23AI-DS381,AI-DS
Student 382,student382@citchennai.net,password123,STUDENT,24CSE382,CSE
Student 383,student383@citchennai.net,password123,STUDENT,24ECE383,ECE
Student 384,student384@citchennai.net,password123,STUDENT,22MECH384,MECH
Student 385,student385@citchennai.net,password123,STUDENT,22EEE385,EEE
Student 386,student386@citchennai.net,password123,STUDENT,22CSE386,CSE
Student 387,student387@citchennai.net,password123,STUDENT,24CIVIL387,CIVIL
Student 388,student388@citchennai.net,password123,STUDENT,24EEE388,EEE
Student 389,student389@citchennai.net,password123,STUDENT,22AI-DS389,AI-DS
Student 390,student390@citchennai.net,password123,STUDENT,23MECH390,MECH
Student 391,student391@citchennai.net,password123,STUDENT,22ECE391,ECE
Student 392,student392@citchennai.net,password123,STUDENT,23MECH392,MECH
Student 393,student393@citchennai.net,password123,STUDENT,22AI-DS393,AI-DS
Student 394,student394@citchennai.net,password123,STUDENT,23AI-DS394,AI-DS
Student 395,student395@citchennai.net,password123,STUDENT,22ECE395,ECE
Student 396,student396@citchennai.net,password123,STUDENT,22EEE396,EEE
Student 397,student397@citchennai.net,password123,STUDENT,22CIVIL397,CIVIL
Student 398,student398@citchennai.net,password123,STUDENT,21BME398,BME
Student 399,student399@citchennai.net,password123,STUDENT,24ECE399,ECE
Student 400,student400@citchennai.net,password123,STUDENT,23AI-DS400,AI-DS
Student 401,student401@citchennai.net,password123,STUDENT,23BME401,BME
Student 402,student402@citchennai.net,password123,STUDENT,22IT402,IT
Student 403,student403@citchennai.net,password123,STUDENT,23IT403,IT
Student 404,student404@citchennai.net,password123,STUDENT,21AI-DS404,AI-DS
Student 405,student405@citchennai.net,password123,STUDENT,22EEE405,EEE
